"","Df","AIC","BIC","logLik","deviance","Chisq","Chi Df","Pr(>Chisq)"
"null.soc",2,-238.419622807189,-233.70620515381,121.209811403595,-242.419622807189,NA,NA,NA
"red.soc",4,-288.819934129465,-279.393098822707,148.409967064732,-296.819934129465,54.4003113222759,2,1.53858852631467e-12
"full.soc",5,-288.80757583875,-277.024031705302,149.403787919375,-298.80757583875,1.98764170928507,1,0.158587677948366
