"","Df","AIC","BIC","logLik","deviance","Chisq","Chi Df","Pr(>Chisq)","strain","y","analysis"
"null.soc",2,-78.3867112789582,-73.0410536100344,41.1933556394791,-82.3867112789582,NA,NA,NA,"ppk23","UWE","simple"
"red.soc",4,-80.2020078505786,-69.510692512731,44.1010039252893,-88.2020078505786,5.81529657162046,2,0.0546039919749148,"ppk23","UWE","simple"
"full.soc",5,-85.756714533028,-72.3925703607184,47.878357266514,-95.756714533028,7.55470668244934,1,0.00598535395771153,"ppk23","UWE","simple"
