"","Df","AIC","BIC","logLik","deviance","Chisq","Chi Df","Pr(>Chisq)","strain","y","analysis"
"null.soc",2,-274.716997163411,-267.739121711097,139.358498581705,-278.716997163411,NA,NA,NA,"ppk23","interaction_index","IPIs"
"red.soc",6,-317.933902442076,-297.000276085136,164.966951221038,-329.933902442076,51.2169052786658,4,2.01099017331871e-10,"ppk23","interaction_index","IPIs"
"full.soc",9,-315.041605858379,-283.641166322969,166.52080292919,-333.041605858379,3.10770341630263,3,0.375315680904845,"ppk23","interaction_index","IPIs"
