"","Estimate","Std. Error","z value","Pr(>|z|)","model","names","strain","y","analysis"
"1",-1.13521532445581,0.0483135369880391,-23.4968374337166,4.39398399860079e-122,"null_model","(Intercept)","CS","interaction_index","simple"
"2",-1.16622891948729,0.0647520649335169,-18.0106830675547,1.60634051995757e-72,"linear","(Intercept)","CS","interaction_index","simple"
"3",-0.475019317206561,0.0756823105469825,-6.27649068551727,3.46300121472305e-10,"linear","tasteTrue","CS","interaction_index","simple"
"4",0.470782570504304,0.0751947676212208,6.26084214896149,3.82903965713985e-10,"linear","playlistTrue","CS","interaction_index","simple"
"5",-1.18046341252907,0.0744629083509087,-15.8530393006691,1.33943100602352e-56,"nonlinear","(Intercept)","CS","interaction_index","simple"
"6",-0.442479948075009,0.111906870099427,-3.9540016415603,7.68548814633442e-05,"nonlinear","tasteTrue","CS","interaction_index","simple"
"7",0.496389216261332,0.0994613756609994,4.99077368438184,6.01379255743023e-07,"nonlinear","playlistTrue","CS","interaction_index","simple"
"8",-0.0597547995909276,0.151732275696521,-0.39381732934951,0.693715909246265,"nonlinear","tasteTrue:playlistTrue","CS","interaction_index","simple"
