"","Df","AIC","BIC","logLik","deviance","Chisq","Chi Df","Pr(>Chisq)","strain","y","analysis"
"null.soc",2,-116.551118186032,-110.959537094838,60.2755590930159,-120.551118186032,NA,NA,NA,"ppk23","interaction_index","simple"
"red.soc",4,-150.137131246411,-138.953969064024,79.0685656232055,-158.137131246411,37.5860130603792,2,6.89129696978329e-09,"ppk23","interaction_index","simple"
"full.soc",5,-148.251304337225,-134.272351609241,79.1256521686125,-158.251304337225,0.114173090813836,1,0.735442248940877,"ppk23","interaction_index","simple"
