"","Df","AIC","BIC","logLik","deviance","Chisq","Chi Df","Pr(>Chisq)"
"null.soc",2,-114.721504729488,-109.375847060565,59.3607523647442,-118.721504729488,NA,NA,NA
"red.soc",4,-139.135119536892,-128.443804199044,73.5675597684458,-147.135119536892,28.4136148074032,2,6.76179405270634e-07
"full.soc",5,-137.518306291363,-124.154162119053,73.7591531456813,-147.518306291363,0.383186754470955,1,0.535902654499357
