"","Estimate","Std. Error","z value","Pr(>|z|)","model","names","strain","y","analysis"
"1",0.188812006110201,0.0354365666241514,5.3281687278789,9.92079421663599e-08,"null_model","(Intercept)","ppk23","interaction_index","IPIs"
"2",0.18616524157434,0.0706627195754093,2.63456094943629,0.00842461770850005,"linear","(Intercept)","ppk23","interaction_index","IPIs"
"3",-0.436229351802994,0.0727878190022779,-5.99316421047513,2.05796854948432e-09,"linear","led_intensity","ppk23","interaction_index","IPIs"
"4",0.0840920271675166,0.0912768051617602,0.921285829609058,0.356901217371651,"linear","playlistIPI16","ppk23","interaction_index","IPIs"
"5",0.386624283480908,0.0914551515077802,4.22747409092661,2.3632937779274e-05,"linear","playlistIPI36","ppk23","interaction_index","IPIs"
"6",0.194646411262362,0.0918969799335969,2.11809366752868,0.0341671357337659,"linear","playlistIPI96","ppk23","interaction_index","IPIs"
"7",0.219223611443035,0.0854485295539522,2.5655632997712,0.0103008424328975,"nonlinear","(Intercept)","ppk23","interaction_index","IPIs"
"8",-0.522641020606583,0.146100698082774,-3.57726573154687,0.000347207158652141,"nonlinear","led_intensity","ppk23","interaction_index","IPIs"
"9",0.0189008857591716,0.119277404526384,0.158461578152388,0.874093094285847,"nonlinear","playlistIPI16","ppk23","interaction_index","IPIs"
"10",0.413978630552381,0.120237979158424,3.44299391465094,0.000575312259179639,"nonlinear","playlistIPI36","ppk23","interaction_index","IPIs"
"11",0.101199114300923,0.120317924733402,0.841097571497829,0.40029327548916,"nonlinear","playlistIPI96","ppk23","interaction_index","IPIs"
"12",0.172557375598066,0.204872034795065,0.842269057222364,0.399637366986154,"nonlinear","led_intensity:playlistIPI16","ppk23","interaction_index","IPIs"
"13",-0.0729332865057306,0.20512611850845,-0.355553388500968,0.722175055921878,"nonlinear","led_intensity:playlistIPI36","ppk23","interaction_index","IPIs"
"14",0.244400857912998,0.205492085594364,1.1893443837805,0.234304176627328,"nonlinear","led_intensity:playlistIPI96","ppk23","interaction_index","IPIs"
