"","Df","AIC","BIC","logLik","deviance","Chisq","Chi Df","Pr(>Chisq)","strain","y","analysis"
"null.soc",2,-219.661222794902,-214.11985354597,111.830611397451,-223.661222794902,NA,NA,NA,"CS","interaction_index","simple"
"red.soc",4,-277.495754391652,-266.41301589379,142.747877195826,-285.495754391652,61.8345315967507,2,3.7394012444436e-14,"CS","interaction_index","simple"
"full.soc",5,-275.650760591758,-261.79733746943,142.825380295879,-285.650760591758,0.155006200106243,1,0.693796436589764,"CS","interaction_index","simple"
