playlist,led_intensity,sex_target,interaction_index,UWE,BWE
True,0.02,female,0.445160093094463,0.4253731343283582,0.0
True,0.02,female,0.4162962962962963,0.24752475247524752,0.0
True,0.02,female,0.44878095027414794,0.3442622950819672,0.0
True,0.02,female,0.5403969117091268,0.15789473684210525,0.0
True,0.02,female,0.5659426663287667,0.22916666666666666,0.0
True,0.02,female,0.6357173347821026,0.3223684210526316,0.0
False,0.02,female,0.5509588998859186,0.35172413793103446,0.0
False,0.02,female,0.43512588151125947,0.36065573770491804,0.0
False,0.02,female,0.5578082148722664,0.3533834586466165,0.0
False,0.02,female,0.2927700782090607,0.225,0.0
False,0.02,female,0.5044009185888845,0.3918918918918919,0.0
False,0.02,female,0.40941760580029946,0.3007518796992481,0.015037593984962405
True,0.16,female,0.49910568657269155,0.2925170068027211,0.0
True,0.16,female,0.534345200122617,0.3046875,0.0078125
True,0.16,female,0.5019006244909041,0.5689655172413793,0.0
True,0.16,female,0.4733753397578453,0.3140495867768595,0.0
True,0.16,female,0.4078532371820271,0.3779527559055118,0.0
True,0.16,female,0.5508606782605613,0.3088235294117647,0.007352941176470588
False,0.0,female,0.5098053797586025,0.38181818181818183,0.0
False,0.0,female,0.2854197746508437,0.16666666666666666,0.0
False,0.0,female,0.5516873262368862,0.42276422764227645,0.0
False,0.0,female,0.5114918300929127,0.41304347826086957,0.0
False,0.0,female,0.552976872078012,0.5533333333333333,0.0
False,0.16,female,0.35315902808534033,0.14285714285714285,0.0
False,0.16,female,0.4781895039798534,0.379746835443038,0.006329113924050633
False,0.16,female,0.3731330085692696,0.24324324324324326,0.0
False,0.16,female,0.45226443296231383,0.3769230769230769,0.0
False,0.16,female,0.3028420619284265,0.39215686274509803,0.0
False,0.16,female,0.3959654816344594,0.3620689655172414,0.0
True,0.0,female,0.5388110083671035,0.32558139534883723,0.0
True,0.0,female,0.6376508355068933,0.4657534246575342,0.0
True,0.0,female,0.5457788536573713,0.30177514792899407,0.005917159763313609
True,0.0,female,0.48427677807001984,0.30201342281879195,0.0
True,0.0,female,0.5020751671662439,0.4444444444444444,0.0
False,0.0,female,0.5023702792764202,0.25,0.0
False,0.0,female,0.6144067397306746,0.3630952380952381,0.0
False,0.0,female,0.48880625188764726,0.20134228187919462,0.0
False,0.0,female,0.6024472241572523,0.2753623188405797,0.0
False,0.0,female,0.5592135209483663,0.3271604938271605,0.0
True,0.16,female,0.31219140170456333,0.15,0.0
True,0.16,female,0.4115132208239414,0.23214285714285715,0.0
True,0.16,female,0.4886750868864966,0.3697478991596639,0.0
True,0.16,female,0.5257945093514111,0.3712121212121212,0.0
