playlist,taste,sex_target,interaction_index,UWE,BWE
False,False,female,0.18247395508205363,0.1702127659574468,0.02127659574468085
False,False,female,0.2804896646379504,0.3125,0.0
False,False,female,0.2641091030047677,0.4,0.0375
False,False,female,0.14298574851460466,0.12903225806451613,0.0
False,False,female,0.2560468212581826,0.2328767123287671,0.0
False,False,female,0.3783595986547708,0.4631578947368421,0.0
False,False,female,0.3259830893312346,0.30303030303030304,0.0
False,False,female,0.284492707276039,0.3188405797101449,0.0
False,False,female,0.16527292078455222,0.2553191489361702,0.02127659574468085
False,False,female,0.28255629262823506,0.27722772277227725,0.0
False,True,female,0.7170403276185188,0.366120218579235,0.00546448087431694
False,True,female,0.5617161349463187,0.4689655172413793,0.006896551724137931
False,True,female,0.7555833680990126,0.6,0.0
False,True,female,0.23073828482645728,0.39655172413793105,0.0
False,True,female,0.6451195052649172,0.5217391304347826,0.018633540372670808
False,True,female,0.6478552799511681,0.43333333333333335,0.02666666666666667
False,True,female,0.6530479085974484,0.4114285714285714,0.0
False,True,female,0.5497214600482249,0.4728682170542636,0.0
False,True,female,0.6747417814304754,0.6107784431137725,0.011976047904191617
False,True,female,0.7875533794216244,0.5913978494623656,0.005376344086021506
False,False,male,0.3004887910383694,0.0975609756097561,0.18292682926829268
False,False,male,0.3258204713879757,0.08235294117647059,0.2
False,False,male,0.243802624120339,0.0425531914893617,0.02127659574468085
False,False,male,0.20393599513186828,0.0,0.06521739130434782
False,False,male,0.15026372987415723,0.0,0.03333333333333333
False,False,male,0.19618177127483138,0.05,0.2833333333333333
False,False,male,0.11998523031477891,0.0,0.1891891891891892
False,False,male,0.18989511714069787,0.09615384615384616,0.057692307692307696
False,False,male,0.2863142190111757,0.0,0.016
False,False,male,0.19611283014697756,0.010752688172043012,0.0
False,False,male,0.2371696363057413,0.109375,0.140625
False,False,male,0.18933843933843933,0.009900990099009901,0.019801980198019802
False,False,male,0.16199158485273493,0.022727272727272728,0.0
False,False,male,0.19699961249607884,0.030303030303030304,0.0
False,False,male,0.1354301095092364,0.0,0.047619047619047616
False,False,male,0.1687753552044162,0.0,0.0
False,False,male,0.17873799472781904,0.0,0.0
False,False,male,0.16327959465684017,0.0,0.0
False,False,male,0.1808861087463449,0.0,0.0
False,True,male,0.2297749854695414,0.06756756756756757,0.02702702702702703
False,True,male,0.2994959007312209,0.10975609756097561,0.024390243902439025
False,True,male,0.18436514661147613,0.1111111111111111,0.06666666666666667
False,True,male,0.14155175278285428,0.0,0.0
False,True,male,0.16002600924158158,0.1111111111111111,0.0
False,True,male,0.15168973997623586,0.0,0.0
